country_name,subregion
Albania,Southern Europe
Andorra,Southern Europe
Austria,Western Europe
Belarus,Eastern Europe
Belgium,Western Europe
Bermuda,Northern America
Bosnia and Herzegovina,Southern Europe
Bulgaria,Eastern Europe
Canada,Northern America
Croatia,Southern Europe
Cyprus,Southern Europe
Czech Republic,Eastern Europe
Denmark,Northern Europe
Estonia,Northern Europe
Finland,Northern Europe
France,Western Europe
Germany,Western Europe
Greece,Southern Europe
Hungary,Eastern Europe
Iceland,Northern Europe
Ireland,Northern Europe
Italy,Southern Europe
Latvia,Northern Europe
Liechtenstein,Western Europe
Lithuania,Northern Europe
Luxembourg,Western Europe
Malta,Southern Europe
Moldova,Eastern Europe
Montenegro,Southern Europe
Netherlands,Western Europe
North Macedonia,Southern Europe
Norway,Northern Europe
Poland,Eastern Europe
Portugal,Southern Europe
Romania,Eastern Europe
Russia,Eastern Europe
San Marino,Southern Europe
Serbia,Southern Europe
Slovakia,Eastern Europe
Slovenia,Southern Europe
Spain,Southern Europe
Sweden,Northern Europe
Switzerland,Western Europe
Ukraine,Eastern Europe
United Kingdom,Northern Europe
United States,Northern America
